City,Country,Gas,Unit,Week_Start,Week_End,Year,Month,Smog_Period,Mean_Value,Filled,Fill_Method,Geom_Source
Loni,India,NO2,mol/m^2,2018-07-01,2018-07-08,2018,7,PreSmog,6.988543308695715e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2018-07-08,2018-07-15,2018,7,PreSmog,8.078022715025963e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2018-07-15,2018-07-22,2018,7,PreSmog,5.224818942849654e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2018-07-22,2018-07-29,2018,7,PreSmog,7.184193299177067e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2018-07-29,2018-08-05,2018,7,PreSmog,4.506687844242837e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2018-08-05,2018-08-12,2018,8,PreSmog,6.748765741669743e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2018-08-12,2018-08-19,2018,8,PreSmog,4.4952382447776105e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2018-08-19,2018-08-26,2018,8,PreSmog,5.892252818285966e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2018-08-26,2018-09-02,2018,8,PreSmog,4.552987300774335e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2018-09-02,2018-09-09,2018,9,PreSmog,3.90099629646193e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2018-09-09,2018-09-16,2018,9,PreSmog,5.5471942136466726e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2018-09-16,2018-09-23,2018,9,PreSmog,5.660423197194976e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2018-09-23,2018-09-30,2018,9,PreSmog,0.0001227306321864,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2018-09-30,2018-10-07,2018,9,PreSmog,8.827284576255523e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2018-10-07,2018-10-14,2018,10,PreSmog,9.28868967550938e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2018-10-14,2018-10-21,2018,10,PreSmog,0.0001014711197182,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2018-10-21,2018-10-28,2018,10,PreSmog,8.685035691814146e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2018-10-28,2018-11-04,2018,10,PreSmog,0.0001006897931773,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2018-11-04,2018-11-11,2018,11,DuringSmog,0.000102694441914,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2018-11-11,2018-11-18,2018,11,DuringSmog,0.0001085220991322,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2018-11-18,2018-11-25,2018,11,DuringSmog,9.566123781662984e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2018-11-25,2018-12-02,2018,11,DuringSmog,0.000133727667323,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2018-12-02,2018-12-09,2018,12,DuringSmog,0.0001834931133682,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2018-12-09,2018-12-16,2018,12,DuringSmog,0.0001115844964166,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2018-12-16,2018-12-23,2018,12,DuringSmog,0.0001345966467983,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2018-12-23,2018-12-30,2018,12,DuringSmog,0.0001071416438658,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2018-12-30,2019-01-06,2018,12,DuringSmog,0.0001546522723137,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2019-01-06,2019-01-13,2019,1,PostSmog,0.0001158893383,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2019-01-13,2019-01-20,2019,1,PostSmog,0.0001352230165226,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2019-01-20,2019-01-27,2019,1,PostSmog,0.0001306652424222,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2019-01-27,2019-02-03,2019,1,PostSmog,0.0001177675666644,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2019-02-03,2019-02-10,2019,2,PostSmog,0.0001121651975662,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2019-02-10,2019-02-17,2019,2,PostSmog,0.0001484553875038,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2019-02-17,2019-02-24,2019,2,PostSmog,5.156761728766037e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2019-02-24,2019-03-03,2019,2,PostSmog,7.424757000595096e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2019-03-03,2019-03-10,2019,3,PostSmog,5.3435975851508086e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2019-03-10,2019-03-17,2019,3,PostSmog,5.916545202661474e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2019-03-17,2019-03-24,2019,3,PostSmog,5.560812508525108e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2019-03-24,2019-03-31,2019,3,PostSmog,7.197267869069598e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2019-03-31,2019-04-07,2019,3,PostSmog,9.477699233342863e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2019-04-07,2019-04-14,2019,4,PreSmog,6.562437429586975e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2019-04-14,2019-04-21,2019,4,PreSmog,6.161488402644503e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2019-04-21,2019-04-28,2019,4,PreSmog,7.505356140415045e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2019-04-28,2019-05-05,2019,4,PreSmog,7.667516828373334e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2019-05-05,2019-05-12,2019,5,PreSmog,7.377423596026775e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2019-05-12,2019-05-19,2019,5,PreSmog,7.609766938573128e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2019-05-19,2019-05-26,2019,5,PreSmog,7.45417539517288e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2019-05-26,2019-06-02,2019,5,PreSmog,7.36951160589471e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2019-06-02,2019-06-09,2019,6,PreSmog,8.421426609472376e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2019-06-09,2019-06-16,2019,6,PreSmog,7.37901827703682e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2019-06-16,2019-06-23,2019,6,PreSmog,8.184161782031192e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2019-06-23,2019-06-30,2019,6,PreSmog,6.029140788735015e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2019-06-30,2019-07-07,2019,6,PreSmog,6.511439132870475e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2019-07-07,2019-07-14,2019,7,PreSmog,5.009445812836216e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2019-07-14,2019-07-21,2019,7,PreSmog,5.733790181942802e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2019-07-21,2019-07-28,2019,7,PreSmog,5.01376434919847e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2019-07-28,2019-08-04,2019,7,PreSmog,2.984518612308845e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2019-08-04,2019-08-11,2019,8,PreSmog,5.6590011933457246e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2019-08-11,2019-08-18,2019,8,PreSmog,4.089319092515078e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2019-08-18,2019-08-25,2019,8,PreSmog,3.719486813801462e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2019-08-25,2019-09-01,2019,8,PreSmog,5.067044900516443e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2019-09-01,2019-09-08,2019,9,PreSmog,5.137057619225696e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2019-09-08,2019-09-15,2019,9,PreSmog,5.386516303989535e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2019-09-15,2019-09-22,2019,9,PreSmog,5.098588392507217e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2019-09-22,2019-09-29,2019,9,PreSmog,4.599449545013615e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2019-09-29,2019-10-06,2019,9,PreSmog,5.0915916482798685e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2019-10-06,2019-10-13,2019,10,PreSmog,6.685456670931827e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2019-10-13,2019-10-20,2019,10,PreSmog,7.122597267307373e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2019-10-20,2019-10-27,2019,10,PreSmog,6.935990801887356e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2019-10-27,2019-11-03,2019,10,PreSmog,4.724207688487401e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2019-11-03,2019-11-10,2019,11,DuringSmog,7.26014410454845e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2019-11-10,2019-11-17,2019,11,DuringSmog,5.619517489432996e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2019-11-17,2019-11-24,2019,11,DuringSmog,0.0001355295556113,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2019-11-24,2019-12-01,2019,11,DuringSmog,6.787072035020666e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2019-12-01,2019-12-08,2019,12,DuringSmog,9.099881409653308e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2019-12-08,2019-12-15,2019,12,DuringSmog,0.0001187803494265,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2019-12-15,2019-12-22,2019,12,DuringSmog,0.0001209795184652,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2019-12-22,2019-12-29,2019,12,DuringSmog,0.0001326732353627,0,observed,shapefile:India_Loni_Ghaziabad
