City,Country,date,Year,Month,MPSI,N_elevated,cond1_MPSI,cond2_Nelev,cond3_window,SmogMonth,Formula detected Smog
Delhi,India,2018-07,2018,7,-0.6696914380145325,0,False,False,False,0,No
Delhi,India,2018-08,2018,8,-0.7541894915546519,0,False,False,False,0,No
Delhi,India,2018-09,2018,9,-0.6297933807448659,0,False,False,False,0,No
Delhi,India,2018-10,2018,10,0.2943396781593866,1,False,False,True,0,No
Delhi,India,2018-11,2018,11,0.04987256987152005,1,False,False,True,0,No
Delhi,India,2018-12,2018,12,0.19550841570422542,2,False,True,True,0,No
Delhi,India,2019-01,2019,1,0.2800008903936261,2,False,True,True,0,No
Delhi,India,2019-02,2019,2,0.13729185255664111,2,False,True,True,0,No
Delhi,India,2019-03,2019,3,-0.21559349949855652,0,False,False,False,0,No
Delhi,India,2019-04,2019,4,0.17205370668631398,0,False,False,False,0,No
Delhi,India,2019-05,2019,5,0.05154749015450109,0,False,False,False,0,No
Delhi,India,2019-06,2019,6,-0.024348064657735802,0,False,False,False,0,No
Delhi,India,2019-07,2019,7,-0.6934045058632233,0,False,False,False,0,No
Delhi,India,2019-08,2019,8,-0.930820978778543,0,False,False,False,0,No
Delhi,India,2019-09,2019,9,-0.849399491335047,0,False,False,False,0,No
Delhi,India,2019-10,2019,10,0.08567479584999026,1,False,False,True,0,No
Delhi,India,2019-11,2019,11,-0.6566654686048603,0,False,False,True,0,No
Delhi,India,2019-12,2019,12,1.0362511942853405,2,True,True,True,1,Yes
Delhi,India,2020-01,2020,1,0.12400634936697999,1,False,False,True,0,No
Delhi,India,2020-02,2020,2,0.22436387494170568,1,False,False,True,0,No
Delhi,India,2020-03,2020,3,-0.17340789454622527,1,False,False,False,0,No
Delhi,India,2020-04,2020,4,-0.33889921236799314,1,False,False,False,0,No
Delhi,India,2020-05,2020,5,-0.14115387760357398,0,False,False,False,0,No
Delhi,India,2020-06,2020,6,-0.5434026827744003,0,False,False,False,0,No
Delhi,India,2020-07,2020,7,-1.271745951292328,0,False,False,False,0,No
Delhi,India,2020-08,2020,8,-1.3183962010876393,0,False,False,False,0,No
Delhi,India,2020-09,2020,9,-0.7299856665272694,0,False,False,False,0,No
Delhi,India,2020-10,2020,10,0.0042659667316513605,1,False,False,True,0,No
Delhi,India,2020-11,2020,11,0.510636708882375,2,False,True,True,0,No
Delhi,India,2020-12,2020,12,0.26147600432153767,2,False,True,True,0,No
Delhi,India,2021-01,2021,1,-0.13379601636137933,2,False,True,True,0,No
Delhi,India,2021-02,2021,2,0.4003586321931934,2,False,True,True,0,No
Delhi,India,2021-03,2021,3,-0.0941333059747258,0,False,False,False,0,No
Delhi,India,2021-04,2021,4,0.3082810758008894,1,False,False,False,0,No
Delhi,India,2021-05,2021,5,-0.22288386327991433,0,False,False,False,0,No
Delhi,India,2021-06,2021,6,-0.38849487025378576,0,False,False,False,0,No
Delhi,India,2021-07,2021,7,-0.5502905624711222,0,False,False,False,0,No
Delhi,India,2021-08,2021,8,-0.5648990288706821,0,False,False,False,0,No
Delhi,India,2021-09,2021,9,-0.6902570324635546,0,False,False,False,0,No
Delhi,India,2021-10,2021,10,0.14805822645333927,0,False,False,True,0,No
Delhi,India,2021-11,2021,11,1.1776487660312278,4,True,True,True,1,Yes
Delhi,India,2021-12,2021,12,0.7809824402825573,2,False,True,True,0,No
Delhi,India,2022-01,2022,1,0.616129374241152,1,False,False,True,0,No
Delhi,India,2022-02,2022,2,0.534673930102398,1,False,False,True,0,No
Delhi,India,2022-03,2022,3,0.470216225782921,1,False,False,False,0,No
Delhi,India,2022-04,2022,4,0.6603630530314101,2,False,True,False,0,No
Delhi,India,2022-05,2022,5,0.7909281210626563,1,False,False,False,0,No
Delhi,India,2022-06,2022,6,0.1580252762058614,1,False,False,False,0,No
Delhi,India,2022-07,2022,7,-0.9232842089105091,0,False,False,False,0,No
Delhi,India,2022-08,2022,8,-0.9251256852602582,0,False,False,False,0,No
Delhi,India,2022-09,2022,9,-0.47690002429802425,0,False,False,False,0,No
Delhi,India,2022-10,2022,10,0.028870288391022524,1,False,False,True,0,No
Delhi,India,2022-11,2022,11,0.1266140407663477,0,False,False,True,0,No
Delhi,India,2022-12,2022,12,0.5146538398203969,2,False,True,True,0,No
Delhi,India,2023-01,2023,1,0.48910829695495084,2,False,True,True,0,No
Delhi,India,2023-02,2023,2,0.2249705340719183,0,False,False,True,0,No
Delhi,India,2023-03,2023,3,0.0357526819190017,0,False,False,False,0,No
Delhi,India,2023-04,2023,4,0.47607019905229164,1,False,False,False,0,No
Delhi,India,2023-05,2023,5,0.2059398977610119,1,False,False,False,0,No
Delhi,India,2023-06,2023,6,-0.44723420805015035,0,False,False,False,0,No
Delhi,India,2023-07,2023,7,-0.8796185487776134,0,False,False,False,0,No
Delhi,India,2023-08,2023,8,-0.5020751814142738,0,False,False,False,0,No
Delhi,India,2023-09,2023,9,-0.41369358926340755,0,False,False,False,0,No
Delhi,India,2023-10,2023,10,0.2794633805550708,1,False,False,True,0,No
Delhi,India,2023-11,2023,11,0.7406357580143309,2,False,True,True,0,No
Delhi,India,2023-12,2023,12,1.1927870366109725,3,True,True,True,1,Yes
Delhi,India,2024-01,2024,1,1.525372967627854,4,True,True,True,1,Yes
Delhi,India,2024-02,2024,2,0.524016438887601,2,False,True,True,0,No
Delhi,India,2024-03,2024,3,0.5984054693251808,2,False,True,False,0,No
Delhi,India,2024-04,2024,4,0.744623429627327,2,False,True,False,0,No
Delhi,India,2024-05,2024,5,1.165198740561814,3,True,True,False,0,No
Delhi,India,2024-06,2024,6,0.1190926911301895,1,False,False,False,0,No
Delhi,India,2024-07,2024,7,-0.9177113296454891,0,False,False,False,0,No
Delhi,India,2024-08,2024,8,-0.9260643474448098,0,False,False,False,0,No
Delhi,India,2024-09,2024,9,-0.5750632553291215,0,False,False,False,0,No
Delhi,India,2024-10,2024,10,0.188149613226236,0,False,False,True,0,No
Delhi,India,2024-11,2024,11,0.7508484611921213,2,False,True,True,0,No
Delhi,India,2024-12,2024,12,0.6010132767213577,2,False,True,True,0,No
Delhi,India,2025-01,2025,1,0.38783341161960616,0,False,False,True,0,No
Delhi,India,2025-02,2025,2,0.11345599932413945,0,False,False,True,0,No
Delhi,India,2025-03,2025,3,0.1245699291590929,1,False,False,False,0,No
Delhi,India,2025-04,2025,4,0.5509132702606774,2,False,True,False,0,No
Delhi,India,2025-05,2025,5,0.2431957330700171,1,False,False,False,0,No
Delhi,India,2025-06,2025,6,-0.10870662588028064,0,False,False,False,0,No
Delhi,India,2025-07,2025,7,-0.7749511541521793,0,False,False,False,0,No
Delhi,India,2025-08,2025,8,-0.8861863159934369,0,False,False,False,0,No
Delhi,India,2025-09,2025,9,-0.7312858516115427,0,False,False,False,0,No
Delhi,India,2025-10,2025,10,-0.14468662110644445,0,False,False,True,0,No
Delhi,India,2025-11,2025,11,0.41068284833214574,2,False,True,True,0,No
Delhi,India,2025-12,2025,12,-0.2803370455762469,0,False,False,True,0,No
Delhi,India,2026-01,2026,1,-0.019370087768533672,0,False,False,True,0,No
Delhi,India,2026-02,2026,2,0.039839774422151794,0,False,False,True,0,No
Delhi,India,2026-03,2026,3,0.0026431935170451283,1,False,False,False,0,No
Delhi,India,2026-04,2026,4,0.151730086295847,2,False,True,False,0,No
Delhi,India,2026-05,2026,5,0.3018379396828492,2,False,True,False,0,No
Delhi,India,2026-06,2026,6,0.1867027184149524,2,False,True,False,0,No
Dhaka,Bangladesh,2018-07,2018,7,-0.7211315984860086,0,False,False,False,0,No
Dhaka,Bangladesh,2018-08,2018,8,-0.7836072998142047,0,False,False,False,0,No
Dhaka,Bangladesh,2018-09,2018,9,-0.6733029691873575,0,False,False,False,0,No
Dhaka,Bangladesh,2018-10,2018,10,-0.2572613356952377,0,False,False,True,0,No
Dhaka,Bangladesh,2018-11,2018,11,0.53267274817988,2,False,True,True,0,No
Dhaka,Bangladesh,2018-12,2018,12,-0.393859807832699,0,False,False,True,0,No
Dhaka,Bangladesh,2019-01,2019,1,0.15222903764406528,2,False,True,True,0,No
Dhaka,Bangladesh,2019-02,2019,2,-0.22025635444855657,1,False,False,True,0,No
Dhaka,Bangladesh,2019-03,2019,3,0.10005793562840662,0,False,False,False,0,No
Dhaka,Bangladesh,2019-04,2019,4,-0.02393028222279301,0,False,False,False,0,No
Dhaka,Bangladesh,2019-05,2019,5,-0.09816372823341031,0,False,False,False,0,No
Dhaka,Bangladesh,2019-06,2019,6,-0.5622728416468838,0,False,False,False,0,No
Dhaka,Bangladesh,2019-07,2019,7,-0.8789454803148153,0,False,False,False,0,No
Dhaka,Bangladesh,2019-08,2019,8,-1.205032917288064,0,False,False,False,0,No
Dhaka,Bangladesh,2019-09,2019,9,-0.7039396893942929,0,False,False,False,0,No
Dhaka,Bangladesh,2019-10,2019,10,-0.45640458169348114,0,False,False,True,0,No
Dhaka,Bangladesh,2019-11,2019,11,-0.5074759313618307,1,False,False,True,0,No
Dhaka,Bangladesh,2019-12,2019,12,-0.20851833502502154,0,False,False,True,0,No
Dhaka,Bangladesh,2020-01,2020,1,-0.23031058356773526,0,False,False,True,0,No
Dhaka,Bangladesh,2020-02,2020,2,0.3149255085312471,0,False,False,True,0,No
Dhaka,Bangladesh,2020-03,2020,3,0.22501650866825532,0,False,False,False,0,No
Dhaka,Bangladesh,2020-04,2020,4,-0.04777576944568229,1,False,False,False,0,No
Dhaka,Bangladesh,2020-05,2020,5,-0.3087074786864794,0,False,False,False,0,No
Dhaka,Bangladesh,2020-06,2020,6,-1.006521705172728,0,False,False,False,0,No
Dhaka,Bangladesh,2020-07,2020,7,-1.3580853021193358,0,False,False,False,0,No
Dhaka,Bangladesh,2020-08,2020,8,-1.0960853249371971,0,False,False,False,0,No
Dhaka,Bangladesh,2020-09,2020,9,-0.8502963288116423,0,False,False,False,0,No
Dhaka,Bangladesh,2020-10,2020,10,-0.500325440676138,1,False,False,True,0,No
Dhaka,Bangladesh,2020-11,2020,11,0.013658752922624019,1,False,False,True,0,No
Dhaka,Bangladesh,2020-12,2020,12,0.08572332703331624,2,False,True,True,0,No
