City,Country,date,Year,Month,MPSI,N_elevated,cond1_MPSI,cond2_Nelev,cond3_window,SmogMonth,Formula detected Smog,months_in_year,short_year_flag
Delhi,India,2018-07,2018,7,-0.46229566443003167,1,False,False,False,0,No,6,True
Delhi,India,2018-08,2018,8,-0.6801948255190686,0,False,False,False,0,No,6,True
Delhi,India,2018-09,2018,9,-0.45117523533354575,0,False,False,False,0,No,6,True
Delhi,India,2018-10,2018,10,0.7480618622183627,2,False,True,True,0,No,6,True
Delhi,India,2018-11,2018,11,0.4328793737738194,1,False,False,True,0,No,6,True
Delhi,India,2018-12,2018,12,0.41272448929046607,2,False,True,True,0,No,6,True
Delhi,India,2019-01,2019,1,0.33403923520572726,1,False,False,True,0,No,12,False
Delhi,India,2019-02,2019,2,0.061435867826329225,2,False,True,True,0,No,12,False
Delhi,India,2019-03,2019,3,-0.07702715069880008,0,False,False,False,0,No,12,False
Delhi,India,2019-04,2019,4,0.4532796432876542,1,False,False,False,0,No,12,False
Delhi,India,2019-05,2019,5,0.3840700941932137,1,False,False,False,0,No,12,False
Delhi,India,2019-06,2019,6,0.2661280511244133,1,False,False,False,0,No,12,False
Delhi,India,2019-07,2019,7,-0.49793287556282156,0,False,False,False,0,No,12,False
Delhi,India,2019-08,2019,8,-0.9016735331765766,0,False,False,False,0,No,12,False
Delhi,India,2019-09,2019,9,-0.8711146135163352,0,False,False,False,0,No,12,False
Delhi,India,2019-10,2019,10,0.3102052688913112,1,False,False,True,0,No,12,False
Delhi,India,2019-11,2019,11,-0.6303851446357434,0,False,False,True,0,No,12,False
Delhi,India,2019-12,2019,12,1.1689751570616296,4,True,True,True,1,Yes,12,False
Delhi,India,2020-01,2020,1,0.3030202309084825,2,False,True,True,0,No,12,False
Delhi,India,2020-02,2020,2,0.4404873634958705,1,False,False,True,0,No,12,False
Delhi,India,2020-03,2020,3,0.07875629561747602,1,False,False,False,0,No,12,False
Delhi,India,2020-04,2020,4,-0.053069082049719274,1,False,False,False,0,No,12,False
Delhi,India,2020-05,2020,5,0.2458162790697104,1,False,False,False,0,No,12,False
Delhi,India,2020-06,2020,6,-0.13375722272942864,1,False,False,False,0,No,12,False
Delhi,India,2020-07,2020,7,-1.0263315827731458,0,False,False,False,0,No,12,False
Delhi,India,2020-08,2020,8,-1.1720023398725015,0,False,False,False,0,No,12,False
Delhi,India,2020-09,2020,9,-0.5535298520835962,0,False,False,False,0,No,12,False
Delhi,India,2020-10,2020,10,0.4601409188290768,2,False,True,True,0,No,12,False
Delhi,India,2020-11,2020,11,0.9134289570391718,4,False,True,True,0,No,12,False
Delhi,India,2020-12,2020,12,0.49704003454860385,2,False,True,True,0,No,12,False
Delhi,India,2021-01,2021,1,-0.32229594232695546,1,False,False,True,0,No,12,False
Delhi,India,2021-02,2021,2,0.35448290991745524,2,False,True,True,0,No,12,False
Delhi,India,2021-03,2021,3,-0.0651921676506753,0,False,False,False,0,No,12,False
Delhi,India,2021-04,2021,4,0.4028957106272476,1,False,False,False,0,No,12,False
Delhi,India,2021-05,2021,5,-0.17760240365577143,1,False,False,False,0,No,12,False
Delhi,India,2021-06,2021,6,-0.37185269334916293,0,False,False,False,0,No,12,False
Delhi,India,2021-07,2021,7,-0.5443859127160023,0,False,False,False,0,No,12,False
Delhi,India,2021-08,2021,8,-0.5727664349209319,0,False,False,False,0,No,12,False
Delhi,India,2021-09,2021,9,-0.7149525454135678,0,False,False,False,0,No,12,False
